# dim  N   mc   dt  Impsamp 
# 2    2 262394 0.1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.246769e+00 3.928198e-05 1.181525e+00 9.726880e-01
3.244555e+00 3.817940e-05 1.320677e+00 9.726490e-01
3.244096e+00 3.886810e-05 1.256538e+00 9.727118e-01
3.245930e+00 3.834134e-05 1.269920e+00 9.725699e-01
3.245018e+00 3.851664e-05 1.097967e+00 9.725756e-01
3.245279e+00 3.862205e-05 1.180092e+00 9.726566e-01
3.240801e+00 3.807604e-05 1.098666e+00 9.730815e-01
3.241701e+00 3.842985e-05 1.227612e+00 9.726823e-01
3.240722e+00 3.836055e-05 1.170341e+00 9.726413e-01
3.243256e+00 3.846489e-05 1.081020e+00 9.725918e-01
3.240175e+00 3.866016e-05 1.103403e+00 9.723688e-01
3.240738e+00 3.833353e-05 1.144685e+00 9.727814e-01
3.243700e+00 3.878297e-05 1.121396e+00 9.730101e-01
3.240232e+00 3.828671e-05 1.138231e+00 9.726375e-01
3.238738e+00 3.822391e-05 1.086977e+00 9.727023e-01
3.240755e+00 3.848143e-05 1.041991e+00 9.725975e-01
3.238477e+00 3.840689e-05 1.068477e+00 9.725861e-01
3.242929e+00 3.978239e-05 1.045345e+00 9.730081e-01
3.236119e+00 3.792350e-05 1.074465e+00 9.729348e-01
3.238357e+00 3.817412e-05 1.054825e+00 9.729643e-01
3.236780e+00 3.826178e-05 1.045804e+00 9.729272e-01
3.234294e+00 3.818613e-05 1.055990e+00 9.727928e-01
3.234821e+00 3.880900e-05 1.057853e+00 9.725184e-01
3.234611e+00 3.855212e-05 1.046610e+00 9.727156e-01
3.236487e+00 4.134013e-05 1.090906e+00 9.730596e-01
3.239250e+00 3.877886e-05 1.059294e+00 9.730767e-01
3.234869e+00 3.815542e-05 1.095819e+00 9.726147e-01
3.228466e+00 3.798896e-05 1.069322e+00 9.730053e-01
3.229548e+00 3.801033e-05 1.068687e+00 9.726833e-01
3.225487e+00 3.783114e-05 1.051440e+00 9.728814e-01
3.230405e+00 3.806166e-05 1.035432e+00 9.730272e-01
3.226038e+00 3.778613e-05 1.156136e+00 9.728176e-01
3.225915e+00 3.795657e-05 1.118417e+00 9.730386e-01
3.224393e+00 3.796034e-05 1.258486e+00 9.728328e-01
3.225847e+00 3.862468e-05 1.257066e+00 9.726547e-01
3.222989e+00 3.854260e-05 1.205487e+00 9.730424e-01
3.227146e+00 3.865246e-05 1.267819e+00 9.729958e-01
3.223869e+00 3.946739e-05 1.209055e+00 9.729338e-01
3.225625e+00 3.850020e-05 1.230392e+00 9.731816e-01
3.222815e+00 3.829251e-05 1.259136e+00 9.729719e-01
3.218142e+00 3.764057e-05 1.283440e+00 9.729958e-01
3.219767e+00 3.776367e-05 1.181612e+00 9.731272e-01
3.223341e+00 3.804688e-05 1.255421e+00 9.730853e-01
3.221376e+00 3.849158e-05 1.246419e+00 9.730987e-01
3.221467e+00 3.810925e-05 1.230452e+00 9.730663e-01
3.219970e+00 4.193867e-05 1.183935e+00 9.731311e-01
3.213602e+00 3.755754e-05 1.085440e+00 9.733121e-01
3.219661e+00 3.925723e-05 1.143453e+00 9.732921e-01
3.217768e+00 3.781457e-05 1.157410e+00 9.733435e-01
3.213330e+00 3.765999e-05 1.178010e+00 9.730367e-01
3.209872e+00 3.747095e-05 1.058517e+00 9.734721e-01
3.214525e+00 3.870434e-05 1.178601e+00 9.731311e-01
3.210608e+00 3.785491e-05 1.258205e+00 9.730186e-01
3.215892e+00 3.831114e-05 1.182489e+00 9.733940e-01
3.209966e+00 3.744599e-05 1.220413e+00 9.733483e-01
3.212637e+00 3.793232e-05 1.152315e+00 9.733216e-01
3.207605e+00 3.732905e-05 1.122260e+00 9.733835e-01
3.208961e+00 3.780016e-05 1.152389e+00 9.733292e-01
3.202374e+00 3.748568e-05 1.127153e+00 9.730958e-01
3.203805e+00 3.735306e-05 1.109104e+00 9.732930e-01
3.205321e+00 4.142113e-05 1.060782e+00 9.734026e-01
3.201058e+00 3.753256e-05 1.088030e+00 9.735598e-01
3.195607e+00 3.691458e-05 1.115607e+00 9.735350e-01
3.200721e+00 3.726556e-05 1.195768e+00 9.736989e-01
3.199356e+00 3.754690e-05 1.258381e+00 9.735598e-01
3.198491e+00 3.723943e-05 1.269228e+00 9.735103e-01
3.197348e+00 3.746463e-05 1.176730e+00 9.734159e-01
3.192729e+00 3.715629e-05 1.169058e+00 9.735750e-01
3.194070e+00 3.739395e-05 1.079260e+00 9.733349e-01
3.190162e+00 3.687823e-05 1.110130e+00 9.735255e-01
3.193073e+00 3.723976e-05 1.054917e+00 9.736370e-01
3.189819e+00 3.784583e-05 1.050166e+00 9.734960e-01
3.190452e+00 3.720563e-05 1.022861e+00 9.733121e-01
3.191840e+00 3.726503e-05 1.059713e+00 9.735665e-01
3.183829e+00 3.687003e-05 1.073254e+00 9.736436e-01
3.185793e+00 3.691018e-05 1.034676e+00 9.739790e-01
3.185549e+00 3.709144e-05 1.047391e+00 9.734855e-01
3.186333e+00 3.735878e-05 1.057921e+00 9.740086e-01
3.182899e+00 3.695979e-05 1.203588e+00 9.735131e-01
3.181894e+00 3.696619e-05 1.249827e+00 9.736170e-01
3.177153e+00 3.701997e-05 1.203980e+00 9.736617e-01
3.182451e+00 3.741506e-05 1.212769e+00 9.736637e-01
3.179322e+00 3.698608e-05 1.299439e+00 9.737484e-01
