# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.260610e+00 4.762118e-05 8.680590e-01 8.612363e-01
3.238966e+00 4.763828e-05 8.907440e-01 8.613221e-01
3.232853e+00 4.548558e-05 8.689890e-01 8.610077e-01
3.229726e+00 4.701810e-05 8.682940e-01 8.608171e-01
3.220475e+00 4.683078e-05 8.747260e-01 8.604532e-01
3.227603e+00 4.546270e-05 8.770160e-01 8.615126e-01
3.232654e+00 4.883981e-05 8.802060e-01 8.604093e-01
3.213574e+00 4.372203e-05 8.892120e-01 8.620100e-01
3.228329e+00 4.532081e-05 8.554290e-01 8.620729e-01
3.224340e+00 4.513155e-05 8.663370e-01 8.623482e-01
3.225663e+00 4.804938e-05 8.712780e-01 8.622225e-01
3.229250e+00 4.700515e-05 8.871830e-01 8.624807e-01
3.214970e+00 4.937120e-05 8.662120e-01 8.622415e-01
3.199405e+00 4.250057e-05 8.630560e-01 8.617813e-01
3.222685e+00 4.596791e-05 8.649610e-01 8.619776e-01
3.222942e+00 5.163170e-05 8.597560e-01 8.626140e-01
3.210823e+00 4.562995e-05 8.556340e-01 8.625350e-01
3.201749e+00 4.400883e-05 8.634600e-01 8.627646e-01
3.218513e+00 4.685873e-05 8.554250e-01 8.628618e-01
3.207367e+00 5.057969e-05 8.766350e-01 8.632210e-01
3.218422e+00 1.159537e-04 8.726990e-01 8.627732e-01
3.210208e+00 4.930663e-05 8.901220e-01 8.629065e-01
3.209043e+00 4.780817e-05 8.672150e-01 8.632029e-01
3.194748e+00 4.280147e-05 8.778050e-01 8.639698e-01
3.195168e+00 4.496937e-05 8.731910e-01 8.631333e-01
3.176955e+00 4.229688e-05 8.917300e-01 8.639689e-01
3.182934e+00 4.460929e-05 8.624010e-01 8.646149e-01
3.189021e+00 6.102773e-05 8.645680e-01 8.641137e-01
3.176425e+00 4.330799e-05 8.760970e-01 8.651293e-01
3.163284e+00 4.173689e-05 8.745210e-01 8.655962e-01
3.170981e+00 4.299508e-05 8.504720e-01 8.655457e-01
3.168100e+00 4.291111e-05 8.758690e-01 8.661136e-01
3.163647e+00 4.505424e-05 8.712240e-01 8.670949e-01
3.147698e+00 4.234106e-05 8.816130e-01 8.673131e-01
3.162469e+00 4.531928e-05 8.760520e-01 8.672454e-01
3.150423e+00 4.360117e-05 8.906720e-01 8.671540e-01
3.157670e+00 4.964195e-05 8.635190e-01 8.674455e-01
3.134486e+00 4.098299e-05 8.833310e-01 8.678819e-01
3.135294e+00 4.121292e-05 8.750450e-01 8.691062e-01
3.142002e+00 4.286297e-05 8.491710e-01 8.683564e-01
3.131961e+00 4.128687e-05 8.830420e-01 8.696569e-01
3.128685e+00 4.129023e-05 8.719330e-01 8.687518e-01
3.133111e+00 7.601812e-05 8.767280e-01 8.687384e-01
3.128389e+00 4.247782e-05 8.766560e-01 8.690252e-01
3.116499e+00 4.420606e-05 8.871670e-01 8.701237e-01
3.127261e+00 4.104856e-05 8.750230e-01 8.704220e-01
3.121790e+00 4.086260e-05 8.792610e-01 8.707688e-01
3.117883e+00 4.075706e-05 8.614970e-01 8.698617e-01
3.123209e+00 4.109825e-05 8.564980e-01 8.709898e-01
3.112237e+00 4.095049e-05 8.583390e-01 8.706887e-01
3.108388e+00 4.013498e-05 8.571770e-01 8.700752e-01
3.108626e+00 4.093349e-05 8.569640e-01 8.707068e-01
3.113152e+00 5.026003e-05 8.825610e-01 8.715357e-01
3.101232e+00 4.096226e-05 8.640820e-01 8.713928e-01
3.103996e+00 4.183165e-05 8.545840e-01 8.721293e-01
3.092952e+00 3.899027e-05 8.725200e-01 8.709479e-01
3.105222e+00 4.369193e-05 8.723790e-01 8.722046e-01
3.098650e+00 3.983792e-05 9.070410e-01 8.720674e-01
3.097725e+00 3.974070e-05 8.572820e-01 8.725200e-01
3.094450e+00 3.938712e-05 8.928610e-01 8.729925e-01
3.095221e+00 4.000520e-05 8.625670e-01 8.725990e-01
3.103148e+00 4.081167e-05 8.781060e-01 8.722684e-01
3.092305e+00 4.030759e-05 8.766720e-01 8.723122e-01
3.088882e+00 4.196134e-05 8.672590e-01 8.733298e-01
3.094221e+00 4.081191e-05 8.569240e-01 8.727839e-01
3.090761e+00 4.121974e-05 8.795090e-01 8.731945e-01
3.086533e+00 3.947089e-05 8.683500e-01 8.725733e-01
3.094542e+00 4.004312e-05 8.846870e-01 8.737776e-01
3.083364e+00 4.060859e-05 8.683830e-01 8.742911e-01
3.093202e+00 4.048432e-05 8.718370e-01 8.741759e-01
3.082815e+00 4.050339e-05 8.618070e-01 8.737061e-01
3.087517e+00 4.072500e-05 8.578960e-01 8.744550e-01
3.080004e+00 3.972563e-05 8.697520e-01 8.742988e-01
3.087154e+00 4.155390e-05 8.765070e-01 8.740187e-01
3.075264e+00 3.875523e-05 8.630610e-01 8.744826e-01
3.082818e+00 4.698308e-05 8.777500e-01 8.746360e-01
3.082629e+00 4.599589e-05 8.806390e-01 8.742635e-01
3.081817e+00 4.049523e-05 8.703150e-01 8.742959e-01
3.081739e+00 3.912869e-05 8.633980e-01 8.742302e-01
3.080673e+00 3.913803e-05 8.589040e-01 8.740615e-01
3.074217e+00 3.885741e-05 8.492070e-01 8.747180e-01
3.087543e+00 5.301101e-05 8.762030e-01 8.748056e-01
3.079311e+00 3.976658e-05 8.728480e-01 8.743426e-01
3.076577e+00 4.298284e-05 8.698700e-01 8.750629e-01
3.077461e+00 4.010555e-05 8.689460e-01 8.752210e-01
3.083415e+00 3.929388e-05 8.802950e-01 8.753516e-01
3.084001e+00 3.896002e-05 8.664790e-01 8.750743e-01
3.075655e+00 3.862851e-05 8.567370e-01 8.760871e-01
3.084311e+00 4.573473e-05 8.824380e-01 8.754688e-01
3.082161e+00 4.200801e-05 8.732150e-01 8.755669e-01
3.081008e+00 3.903569e-05 8.626560e-01 8.754640e-01
3.080340e+00 3.862151e-05 8.621520e-01 8.750991e-01
3.073869e+00 3.855802e-05 8.687380e-01 8.755250e-01
3.077594e+00 3.818047e-05 8.912170e-01 8.757927e-01
3.075992e+00 3.857795e-05 8.753250e-01 8.752525e-01
3.082644e+00 5.337722e-05 8.655790e-01 8.748847e-01
3.078709e+00 3.956885e-05 8.497800e-01 8.752315e-01
3.079217e+00 3.894119e-05 9.034810e-01 8.750286e-01
3.079553e+00 3.806683e-05 8.829400e-01 8.755755e-01
3.080675e+00 3.958896e-05 8.624310e-01 8.757784e-01
3.081264e+00 3.958376e-05 8.615430e-01 8.755993e-01
3.078017e+00 3.839492e-05 8.535520e-01 8.748666e-01
3.083388e+00 6.632474e-05 8.677020e-01 8.748485e-01
3.078354e+00 3.905775e-05 8.804010e-01 8.754764e-01
3.071803e+00 3.741453e-05 8.714110e-01 8.756546e-01
3.075860e+00 3.979640e-05 8.792270e-01 8.753249e-01
3.077387e+00 3.834555e-05 8.776000e-01 8.757794e-01
3.082018e+00 3.922739e-05 8.536490e-01 8.752706e-01
3.080856e+00 3.906642e-05 8.546080e-01 8.752001e-01
3.076233e+00 3.853124e-05 8.778300e-01 8.751143e-01
3.081971e+00 3.825124e-05 8.842260e-01 8.753935e-01
3.074945e+00 3.845405e-05 8.749900e-01 8.749867e-01
3.082213e+00 3.887617e-05 8.712390e-01 8.751839e-01
3.075980e+00 3.984310e-05 8.702950e-01 8.758842e-01
3.079416e+00 3.858993e-05 8.712860e-01 8.754697e-01
3.079017e+00 3.918170e-05 8.841020e-01 8.754440e-01
3.081688e+00 4.765766e-05 8.654160e-01 8.748418e-01
3.077453e+00 3.880414e-05 8.678560e-01 8.757574e-01
3.080851e+00 3.973287e-05 8.643610e-01 8.763377e-01
3.086190e+00 3.953550e-05 8.582980e-01 8.754192e-01
3.072613e+00 3.898747e-05 8.668830e-01 8.754373e-01
3.075155e+00 4.414581e-05 8.717920e-01 8.752020e-01
3.082430e+00 4.074371e-05 8.720840e-01 8.762205e-01
