# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.071479e+00 3.884319e-05 8.767170e-01 8.754954e-01
3.087205e+00 3.876813e-05 8.724360e-01 8.747542e-01
3.084819e+00 3.847886e-05 8.751280e-01 8.758394e-01
3.077317e+00 4.255628e-05 8.777760e-01 8.752144e-01
3.078636e+00 3.816545e-05 8.754140e-01 8.753821e-01
3.074911e+00 3.832367e-05 8.950640e-01 8.754259e-01
3.086486e+00 4.028349e-05 8.698570e-01 8.754488e-01
3.079217e+00 3.868216e-05 8.620510e-01 8.749705e-01
3.080392e+00 3.972094e-05 8.660850e-01 8.746522e-01
3.073700e+00 3.777201e-05 8.764420e-01 8.750772e-01
3.079236e+00 3.841384e-05 8.710720e-01 8.762834e-01
3.079971e+00 3.962086e-05 8.640230e-01 8.744655e-01
3.079427e+00 3.808900e-05 8.665990e-01 8.750972e-01
3.081198e+00 3.935467e-05 8.672810e-01 8.758413e-01
3.078541e+00 3.902155e-05 8.703360e-01 8.757489e-01
3.088397e+00 4.478992e-05 8.623390e-01 8.753773e-01
3.086248e+00 4.229606e-05 8.596290e-01 8.749524e-01
3.080398e+00 3.821963e-05 8.664410e-01 8.746418e-01
3.089182e+00 8.242084e-05 8.614970e-01 8.756660e-01
3.085995e+00 4.422297e-05 8.700070e-01 8.759775e-01
3.076896e+00 3.809094e-05 8.642460e-01 8.760614e-01
3.072972e+00 3.869092e-05 8.639600e-01 8.752696e-01
3.082493e+00 4.071652e-05 8.655560e-01 8.757336e-01
3.078483e+00 3.985188e-05 8.597640e-01 8.744207e-01
3.085053e+00 3.872994e-05 8.994720e-01 8.760033e-01
3.084823e+00 3.896371e-05 8.585440e-01 8.753782e-01
3.076654e+00 3.781359e-05 8.830190e-01 8.749829e-01
3.087043e+00 4.736208e-05 8.672510e-01 8.754831e-01
3.078660e+00 4.102488e-05 8.631980e-01 8.747447e-01
3.077200e+00 3.859254e-05 8.574110e-01 8.753573e-01
3.088898e+00 4.013635e-05 8.716820e-01 8.753506e-01
3.079320e+00 3.805874e-05 8.764760e-01 8.766511e-01
3.078532e+00 3.842955e-05 8.769570e-01 8.747609e-01
3.076928e+00 3.944567e-05 8.562700e-01 8.756546e-01
3.076498e+00 3.931245e-05 8.626920e-01 8.757832e-01
3.076903e+00 3.863578e-05 8.680160e-01 8.753983e-01
3.077349e+00 3.841164e-05 8.637610e-01 8.754497e-01
3.080393e+00 4.106773e-05 8.774530e-01 8.750715e-01
3.080756e+00 3.908110e-05 8.513140e-01 8.751086e-01
3.082909e+00 4.046188e-05 8.696700e-01 8.752210e-01
3.078833e+00 3.843082e-05 8.706110e-01 8.745150e-01
3.075931e+00 4.024873e-05 8.633660e-01 8.753163e-01
3.079132e+00 3.862541e-05 8.618280e-01 8.756584e-01
3.078453e+00 3.874540e-05 8.621500e-01 8.759299e-01
3.079634e+00 3.873460e-05 8.489210e-01 8.753678e-01
3.078452e+00 3.865554e-05 8.796080e-01 8.761986e-01
3.082429e+00 4.143535e-05 8.863490e-01 8.761347e-01
3.076348e+00 3.837042e-05 8.942670e-01 8.760156e-01
3.078999e+00 4.108610e-05 8.517480e-01 8.755154e-01
3.086674e+00 4.278414e-05 8.793700e-01 8.753887e-01
3.075906e+00 3.948512e-05 8.739090e-01 8.760366e-01
3.076508e+00 3.878376e-05 8.724910e-01 8.757203e-01
3.074100e+00 3.895747e-05 8.612900e-01 8.751877e-01
3.071501e+00 3.798261e-05 8.627230e-01 8.752763e-01
3.080634e+00 3.899121e-05 8.725150e-01 8.753497e-01
3.084991e+00 4.106309e-05 8.714270e-01 8.756364e-01
3.081752e+00 4.091392e-05 8.718850e-01 8.754078e-01
3.074635e+00 3.958683e-05 8.726850e-01 8.743331e-01
3.079180e+00 3.784907e-05 8.757500e-01 8.759080e-01
3.079440e+00 4.072085e-05 8.689110e-01 8.757260e-01
3.084792e+00 4.087197e-05 8.691980e-01 8.748094e-01
3.074652e+00 3.850131e-05 8.685780e-01 8.750857e-01
3.081410e+00 3.902004e-05 8.687580e-01 8.748428e-01
3.080426e+00 3.961665e-05 8.695060e-01 8.755097e-01
3.071956e+00 3.840310e-05 8.923190e-01 8.758289e-01
3.077844e+00 3.879236e-05 9.001330e-01 8.758260e-01
3.080003e+00 3.872625e-05 8.763850e-01 8.753401e-01
3.078719e+00 4.492660e-05 9.062190e-01 8.747952e-01
3.076130e+00 3.796279e-05 8.657150e-01 8.758956e-01
3.080458e+00 3.924924e-05 8.711880e-01 8.754411e-01
3.076092e+00 3.824665e-05 8.695340e-01 8.758832e-01
3.083834e+00 4.028112e-05 8.657940e-01 8.751963e-01
3.082312e+00 3.926232e-05 8.781540e-01 8.765425e-01
3.088635e+00 1.423507e-04 8.872880e-01 8.747532e-01
3.084808e+00 4.282643e-05 8.757930e-01 8.754230e-01
3.083335e+00 3.937130e-05 8.809560e-01 8.758108e-01
3.082965e+00 3.881534e-05 8.930100e-01 8.757555e-01
3.088903e+00 3.996564e-05 8.491300e-01 8.754459e-01
3.076598e+00 3.906779e-05 8.648790e-01 8.751439e-01
3.074228e+00 3.814860e-05 8.725930e-01 8.747551e-01
3.089952e+00 4.265319e-05 8.855900e-01 8.758108e-01
3.073596e+00 3.765794e-05 8.964990e-01 8.745836e-01
3.082798e+00 3.916123e-05 8.818180e-01 8.752277e-01
3.079239e+00 4.024646e-05 8.494980e-01 8.747285e-01
3.080149e+00 3.843040e-05 8.746970e-01 8.760480e-01
3.082349e+00 3.893061e-05 8.722350e-01 8.753935e-01
3.079801e+00 3.881317e-05 8.787970e-01 8.762500e-01
3.082377e+00 4.287900e-05 8.556790e-01 8.752868e-01
3.083215e+00 4.047210e-05 9.060300e-01 8.758527e-01
3.082245e+00 4.496991e-05 8.887900e-01 8.751839e-01
3.077546e+00 3.974568e-05 8.644130e-01 8.751039e-01
3.074976e+00 3.960658e-05 8.651550e-01 8.752134e-01
3.072014e+00 3.858464e-05 8.493490e-01 8.754497e-01
3.081068e+00 3.840431e-05 8.629800e-01 8.750838e-01
3.082093e+00 4.043124e-05 8.758490e-01 8.759642e-01
3.070936e+00 3.991038e-05 8.565460e-01 8.750057e-01
3.076082e+00 3.794222e-05 8.652950e-01 8.754230e-01
3.084785e+00 3.894619e-05 8.559940e-01 8.755069e-01
3.076704e+00 3.877564e-05 8.562870e-01 8.751553e-01
3.085347e+00 4.239420e-05 8.692420e-01 8.751553e-01
3.085293e+00 4.024389e-05 8.696600e-01 8.754049e-01
3.082238e+00 3.939787e-05 8.564080e-01 8.760995e-01
3.076579e+00 3.929827e-05 8.766780e-01 8.753487e-01
3.085399e+00 3.967214e-05 8.600210e-01 8.751324e-01
3.078604e+00 4.226022e-05 8.842080e-01 8.747628e-01
3.080286e+00 4.614124e-05 8.486260e-01 8.750248e-01
3.076476e+00 3.835150e-05 8.759080e-01 8.750581e-01
3.078451e+00 3.832788e-05 8.693830e-01 8.759451e-01
3.084472e+00 3.893581e-05 8.565640e-01 8.750133e-01
3.085862e+00 4.036851e-05 8.738640e-01 8.751229e-01
3.083559e+00 4.458268e-05 8.625570e-01 8.758299e-01
3.081668e+00 4.147080e-05 8.552880e-01 8.758546e-01
3.073068e+00 4.121848e-05 8.584960e-01 8.753077e-01
3.078330e+00 4.022127e-05 8.620660e-01 8.755669e-01
3.074601e+00 3.788436e-05 8.696500e-01 8.748514e-01
3.081399e+00 5.876894e-05 8.635850e-01 8.750324e-01
3.086416e+00 5.386409e-05 8.742750e-01 8.759709e-01
3.071807e+00 3.782184e-05 8.650960e-01 8.754164e-01
3.080521e+00 3.858440e-05 8.763220e-01 8.759375e-01
3.085391e+00 3.882574e-05 8.702170e-01 8.757860e-01
3.081159e+00 3.959980e-05 8.710480e-01 8.754888e-01
3.077034e+00 3.873444e-05 8.654890e-01 8.754507e-01
3.083445e+00 4.583212e-05 8.787220e-01 8.759833e-01
3.073519e+00 3.950183e-05 8.676490e-01 8.752820e-01
3.079489e+00 3.825342e-05 8.697620e-01 8.756412e-01
3.075890e+00 3.847493e-05 8.562860e-01 8.750943e-01
3.078011e+00 4.376192e-05 8.648570e-01 8.759251e-01
3.071642e+00 3.792096e-05 8.716500e-01 8.755316e-01
3.081517e+00 3.940815e-05 8.803850e-01 8.757289e-01
3.083171e+00 3.935216e-05 8.864630e-01 8.752563e-01
3.082644e+00 4.028911e-05 8.779580e-01 8.759690e-01
3.084663e+00 4.378271e-05 8.629380e-01 8.752572e-01
3.078487e+00 3.802443e-05 8.735230e-01 8.755726e-01
3.077187e+00 3.830661e-05 8.562970e-01 8.752048e-01
3.081817e+00 3.838539e-05 8.775120e-01 8.749914e-01
3.080443e+00 3.853097e-05 8.562800e-01 8.754030e-01
3.082665e+00 4.164751e-05 8.922240e-01 8.755469e-01
3.081251e+00 4.226862e-05 8.559370e-01 8.755793e-01
3.074493e+00 3.949985e-05 8.649610e-01 8.753687e-01
3.074680e+00 3.975880e-05 8.731730e-01 8.749438e-01
3.086529e+00 3.968599e-05 8.551040e-01 8.762615e-01
3.082511e+00 3.946404e-05 8.679110e-01 8.754611e-01
3.087699e+00 6.295871e-05 8.735830e-01 8.761052e-01
3.081539e+00 3.847402e-05 8.560140e-01 8.759251e-01
3.083089e+00 4.441211e-05 8.855270e-01 8.752553e-01
3.070720e+00 3.769852e-05 8.661610e-01 8.752677e-01
3.079735e+00 3.842354e-05 8.699940e-01 8.741901e-01
3.072108e+00 3.794023e-05 8.642510e-01 8.755069e-01
3.083866e+00 3.875811e-05 8.753010e-01 8.752210e-01
3.073942e+00 3.821507e-05 8.666360e-01 8.751639e-01
3.077344e+00 3.827205e-05 8.728600e-01 8.755307e-01
3.074311e+00 3.770595e-05 8.528090e-01 8.748437e-01
3.086267e+00 4.637351e-05 8.831870e-01 8.755107e-01
3.081342e+00 4.061875e-05 8.630950e-01 8.753697e-01
3.087778e+00 4.281299e-05 9.023560e-01 8.751667e-01
3.079698e+00 3.837003e-05 8.578580e-01 8.755088e-01
3.076016e+00 3.910782e-05 8.632030e-01 8.754945e-01
3.082112e+00 3.929072e-05 8.580010e-01 8.747675e-01
3.089007e+00 6.989354e-05 8.547580e-01 8.751124e-01
3.081301e+00 5.861812e-05 8.772610e-01 8.754840e-01
3.080204e+00 4.224884e-05 8.753930e-01 8.750953e-01
3.075060e+00 3.918019e-05 8.673200e-01 8.756231e-01
3.083758e+00 3.977812e-05 8.716680e-01 8.752572e-01
3.084497e+00 4.266576e-05 8.508750e-01 8.757822e-01
3.080430e+00 4.098028e-05 8.697650e-01 8.758565e-01
3.080154e+00 4.093268e-05 8.722560e-01 8.752029e-01
3.077988e+00 3.843650e-05 8.864490e-01 8.763491e-01
