# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.274026e+00 4.885312e-05 8.732180e-01 8.614221e-01
3.279940e+00 5.068629e-05 8.808270e-01 8.615212e-01
3.267629e+00 9.626134e-05 8.792190e-01 8.604541e-01
3.246995e+00 4.700545e-05 8.655430e-01 8.604046e-01
3.253096e+00 4.857059e-05 8.698630e-01 8.608057e-01
3.239705e+00 4.751518e-05 8.766440e-01 8.609658e-01
3.248739e+00 5.752778e-05 8.917920e-01 8.613583e-01
3.246454e+00 4.834606e-05 8.571940e-01 8.612182e-01
3.245659e+00 4.854540e-05 8.641330e-01 8.606771e-01
3.239022e+00 5.000722e-05 8.592230e-01 8.611668e-01
3.250836e+00 4.782157e-05 8.558260e-01 8.610858e-01
3.232729e+00 4.654367e-05 8.694040e-01 8.619824e-01
3.240048e+00 4.835948e-05 8.697840e-01 8.612659e-01
3.236163e+00 4.806214e-05 8.639240e-01 8.610896e-01
3.244535e+00 5.035584e-05 8.662480e-01 8.606895e-01
3.248997e+00 4.716944e-05 8.685920e-01 8.605142e-01
3.234983e+00 5.269507e-05 8.581580e-01 8.608333e-01
3.226159e+00 4.632695e-05 8.746040e-01 8.606923e-01
3.235209e+00 5.543024e-05 8.796960e-01 8.606094e-01
3.222608e+00 4.551814e-05 8.654900e-01 8.611963e-01
3.241594e+00 4.991780e-05 8.695260e-01 8.609620e-01
3.238351e+00 5.238009e-05 8.781920e-01 8.603836e-01
3.226179e+00 4.897027e-05 8.763020e-01 8.605513e-01
3.236108e+00 4.727266e-05 8.628100e-01 8.616556e-01
3.223873e+00 4.799769e-05 8.631690e-01 8.613802e-01
3.228104e+00 4.903256e-05 8.920820e-01 8.607752e-01
3.237700e+00 4.714397e-05 8.813770e-01 8.610153e-01
3.229559e+00 4.590926e-05 8.648880e-01 8.614488e-01
3.235170e+00 4.709106e-05 8.843620e-01 8.610001e-01
3.215418e+00 4.698336e-05 8.992870e-01 8.611725e-01
3.231154e+00 4.851164e-05 8.678270e-01 8.609600e-01
3.232114e+00 4.792570e-05 8.709420e-01 8.612697e-01
3.238426e+00 7.049105e-05 8.510160e-01 8.615612e-01
3.228487e+00 5.535782e-05 8.836840e-01 8.614078e-01
3.232810e+00 4.569633e-05 8.678840e-01 8.616498e-01
3.225802e+00 4.622956e-05 8.559420e-01 8.611744e-01
3.242165e+00 4.801814e-05 8.702420e-01 8.613278e-01
3.233592e+00 4.910834e-05 8.653310e-01 8.608190e-01
3.237359e+00 4.573508e-05 8.668840e-01 8.614221e-01
3.236135e+00 6.117005e-05 8.791070e-01 8.624502e-01
3.237508e+00 4.744590e-05 8.693710e-01 8.614031e-01
3.232377e+00 4.556400e-05 8.589870e-01 8.614707e-01
3.228084e+00 4.595953e-05 8.735510e-01 8.618194e-01
3.229247e+00 4.750286e-05 8.770780e-01 8.623549e-01
3.232570e+00 5.356153e-05 8.635120e-01 8.615527e-01
3.230670e+00 4.579013e-05 8.505780e-01 8.619595e-01
3.229673e+00 4.477599e-05 8.789230e-01 8.612221e-01
3.230938e+00 4.587810e-05 8.717070e-01 8.616394e-01
3.226407e+00 4.521303e-05 8.705550e-01 8.612316e-01
3.222192e+00 4.530384e-05 8.646350e-01 8.613926e-01
3.231709e+00 4.882354e-05 8.638030e-01 8.620405e-01
3.223655e+00 4.705855e-05 8.591770e-01 8.605389e-01
3.218572e+00 4.644887e-05 8.783480e-01 8.611325e-01
3.218219e+00 4.479260e-05 8.579350e-01 8.613097e-01
3.225749e+00 4.995689e-05 8.665700e-01 8.619681e-01
3.236414e+00 8.914774e-05 8.782440e-01 8.610553e-01
3.227624e+00 4.694830e-05 8.697240e-01 8.613364e-01
3.233934e+00 1.188207e-04 8.883260e-01 8.613831e-01
3.229696e+00 4.586303e-05 8.631570e-01 8.615212e-01
3.228374e+00 4.641090e-05 8.623180e-01 8.611563e-01
