# dim  N   mc   rho  Brute 
# 1    1 100000 1
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.604237e-01 1.120589e-06 4.171200e-02 8.593000e-01
5.551001e-01 9.951493e-07 4.161700e-02 8.597000e-01
5.381607e-01 8.324428e-07 4.194100e-02 8.591400e-01
5.419504e-01 7.404814e-07 4.161700e-02 8.590700e-01
5.234595e-01 6.418428e-07 4.175400e-02 8.595800e-01
5.294141e-01 5.673225e-07 4.167700e-02 8.601700e-01
5.201263e-01 5.049118e-07 4.199100e-02 8.624300e-01
5.206406e-01 4.386329e-07 4.159100e-02 8.616900e-01
5.227216e-01 3.881463e-07 4.211800e-02 8.597000e-01
5.122323e-01 3.584809e-07 4.222900e-02 8.589200e-01
5.172831e-01 3.149169e-07 4.192200e-02 8.589000e-01
5.126818e-01 2.606000e-07 4.180400e-02 8.637100e-01
5.136047e-01 2.391319e-07 4.192100e-02 8.630500e-01
5.077385e-01 2.148115e-07 4.159500e-02 8.607100e-01
5.061596e-01 1.981904e-07 4.184800e-02 8.592100e-01
5.088879e-01 1.542439e-07 4.176600e-02 8.619200e-01
5.064504e-01 1.388057e-07 4.180400e-02 8.619200e-01
5.059457e-01 1.279113e-07 4.164100e-02 8.608300e-01
5.055906e-01 1.182697e-07 4.167600e-02 8.579000e-01
5.037772e-01 9.877973e-08 4.173400e-02 8.620800e-01
5.028358e-01 8.402056e-08 4.197400e-02 8.590400e-01
5.035240e-01 7.308158e-08 4.180600e-02 8.592400e-01
5.024301e-01 6.254766e-08 4.194700e-02 8.611100e-01
5.036439e-01 5.707429e-08 4.167200e-02 8.613100e-01
5.040815e-01 4.974699e-08 4.195800e-02 8.602000e-01
5.020968e-01 4.384741e-08 4.180500e-02 8.592800e-01
5.042150e-01 3.748399e-08 4.216100e-02 8.595200e-01
5.016574e-01 3.298881e-08 4.176300e-02 8.610800e-01
5.010286e-01 2.900312e-08 4.214600e-02 8.620000e-01
5.019853e-01 2.655927e-08 4.177900e-02 8.610400e-01
5.019203e-01 2.235755e-08 4.175300e-02 8.596400e-01
5.023843e-01 2.018089e-08 4.171200e-02 8.605700e-01
5.005927e-01 1.787435e-08 4.167300e-02 8.608700e-01
5.012665e-01 1.576008e-08 4.219800e-02 8.604600e-01
5.014501e-01 1.438285e-08 4.219400e-02 8.604000e-01
5.002585e-01 1.246365e-08 4.180500e-02 8.585500e-01
5.007419e-01 1.092176e-08 4.198600e-02 8.575200e-01
5.002124e-01 9.490444e-09 4.181200e-02 8.599600e-01
5.012599e-01 8.467957e-09 4.200800e-02 8.616600e-01
5.010078e-01 6.946014e-09 4.182500e-02 8.615300e-01
5.007514e-01 6.657975e-09 4.172500e-02 8.623400e-01
5.005441e-01 5.344275e-09 4.178600e-02 8.623400e-01
5.001267e-01 4.961294e-09 4.198700e-02 8.589300e-01
4.999192e-01 4.514163e-09 4.154900e-02 8.594800e-01
5.000088e-01 3.816324e-09 4.179000e-02 8.602900e-01
