# dim  N   mc   rho  Brute 
# 1    1 1049576 0.4
#
# Theoretical Energy = 5.000000e-01
# Energy     Variance     CPU time     Acceptance
5.273557e-01 2.868155e-08 5.524960e-01 9.434848e-01
5.273370e-01 2.767056e-08 5.497150e-01 9.433371e-01
5.240329e-01 2.551175e-08 5.897430e-01 9.436010e-01
5.227402e-01 2.478873e-08 5.526850e-01 9.435658e-01
5.277094e-01 2.347893e-08 5.176100e-01 9.434057e-01
5.222972e-01 2.196149e-08 5.143360e-01 9.435210e-01
5.228873e-01 2.039638e-08 5.370590e-01 9.436973e-01
5.222126e-01 1.959288e-08 5.447460e-01 9.439221e-01
5.206752e-01 1.803669e-08 5.299000e-01 9.443737e-01
5.193150e-01 1.780304e-08 5.541440e-01 9.432933e-01
5.192407e-01 1.667882e-08 5.523510e-01 9.436668e-01
5.167056e-01 1.560921e-08 5.505420e-01 9.442623e-01
5.152534e-01 1.514840e-08 5.417360e-01 9.431456e-01
5.150082e-01 1.404101e-08 4.946900e-01 9.438993e-01
5.134065e-01 1.358262e-08 4.820730e-01 9.436572e-01
5.147078e-01 1.270053e-08 5.162180e-01 9.436420e-01
5.133899e-01 1.205682e-08 5.395230e-01 9.434495e-01
5.126256e-01 1.173321e-08 5.180740e-01 9.432457e-01
5.116163e-01 1.063675e-08 5.230370e-01 9.437887e-01
5.111551e-01 1.016561e-08 5.679950e-01 9.436858e-01
5.090403e-01 9.719050e-09 5.592280e-01 9.437925e-01
5.091651e-01 9.202871e-09 5.346380e-01 9.440403e-01
5.096459e-01 8.908846e-09 4.791470e-01 9.432190e-01
5.070895e-01 8.039694e-09 4.776660e-01 9.443432e-01
5.085528e-01 7.930629e-09 4.743820e-01 9.434019e-01
5.084254e-01 7.423527e-09 5.220680e-01 9.435953e-01
5.060620e-01 7.053210e-09 5.400600e-01 9.433705e-01
5.068908e-01 6.555135e-09 5.592980e-01 9.434676e-01
5.060348e-01 6.406168e-09 5.987180e-01 9.434676e-01
5.057850e-01 6.064492e-09 5.465120e-01 9.428398e-01
5.064685e-01 5.581679e-09 4.976710e-01 9.438973e-01
5.057904e-01 5.338903e-09 5.066860e-01 9.436944e-01
5.049171e-01 5.049852e-09 5.485530e-01 9.430408e-01
5.042833e-01 4.677087e-09 5.641530e-01 9.446834e-01
5.044836e-01 4.477159e-09 5.383200e-01 9.442851e-01
5.041815e-01 4.353678e-09 5.473260e-01 9.430351e-01
5.046903e-01 4.042960e-09 5.366000e-01 9.439288e-01
5.043514e-01 3.853919e-09 5.374090e-01 9.437925e-01
5.029263e-01 3.683242e-09 5.298550e-01 9.435210e-01
5.037426e-01 3.461332e-09 5.292880e-01 9.435343e-01
5.029512e-01 3.355827e-09 5.399660e-01 9.431075e-01
5.034821e-01 3.132839e-09 5.427610e-01 9.431456e-01
5.014986e-01 2.910193e-09 5.386810e-01 9.437306e-01
5.042129e-01 2.822556e-09 5.487320e-01 9.433057e-01
5.030650e-01 2.611628e-09 5.417140e-01 9.440098e-01
5.029363e-01 2.574940e-09 5.277770e-01 9.436172e-01
5.021005e-01 2.380164e-09 5.353410e-01 9.434295e-01
5.027707e-01 2.253757e-09 5.506490e-01 9.438221e-01
5.017665e-01 2.120170e-09 5.992590e-01 9.437011e-01
5.016183e-01 2.004489e-09 5.075390e-01 9.441536e-01
5.023368e-01 1.885103e-09 4.930970e-01 9.446691e-01
5.018411e-01 1.816816e-09 4.867420e-01 9.442432e-01
5.017416e-01 1.704494e-09 4.933020e-01 9.441155e-01
5.006800e-01 1.581211e-09 5.293040e-01 9.446758e-01
5.022572e-01 1.585611e-09 5.296750e-01 9.435953e-01
5.014251e-01 1.474126e-09 6.010570e-01 9.438745e-01
5.011642e-01 1.391970e-09 6.138830e-01 9.437116e-01
5.011142e-01 1.318912e-09 6.963550e-01 9.439907e-01
5.006637e-01 1.238881e-09 6.748380e-01 9.447081e-01
5.010872e-01 1.221209e-09 6.185550e-01 9.440069e-01
5.010783e-01 1.159720e-09 5.081910e-01 9.436239e-01
5.013709e-01 1.072071e-09 5.598810e-01 9.441927e-01
5.003443e-01 1.010297e-09 5.041860e-01 9.444014e-01
5.008599e-01 9.808029e-10 5.330920e-01 9.438869e-01
5.003926e-01 9.082332e-10 4.943890e-01 9.443309e-01
5.008984e-01 8.777305e-10 4.892060e-01 9.441736e-01
5.003717e-01 8.317796e-10 4.879400e-01 9.441908e-01
5.011814e-01 8.180316e-10 4.747250e-01 9.441717e-01
5.003846e-01 7.773420e-10 5.269370e-01 9.444433e-01
5.005140e-01 7.333349e-10 5.305240e-01 9.442508e-01
5.011290e-01 7.076834e-10 5.292540e-01 9.442994e-01
5.005188e-01 6.542955e-10 5.308170e-01 9.446758e-01
5.000760e-01 6.118084e-10 5.440810e-01 9.448187e-01
5.006805e-01 6.086019e-10 5.101250e-01 9.440441e-01
5.002058e-01 5.858957e-10 5.222630e-01 9.439259e-01
5.004144e-01 5.531737e-10 4.811020e-01 9.437297e-01
5.004329e-01 5.318014e-10 4.740550e-01 9.440469e-01
5.001713e-01 5.087605e-10 5.098470e-01 9.441660e-01
5.000978e-01 4.805098e-10 5.554000e-01 9.440574e-01
5.002038e-01 4.653722e-10 5.459600e-01 9.438583e-01
5.002866e-01 4.534311e-10 5.244750e-01 9.437859e-01
5.006576e-01 4.437325e-10 5.408710e-01 9.434743e-01
5.007202e-01 4.387593e-10 5.388070e-01 9.436077e-01
5.005840e-01 4.041195e-10 5.217100e-01 9.445967e-01
5.005362e-01 3.920973e-10 5.401670e-01 9.437868e-01
5.003369e-01 3.732114e-10 5.417040e-01 9.435801e-01
5.003914e-01 3.702633e-10 5.370690e-01 9.437106e-01
5.007214e-01 3.598748e-10 5.227170e-01 9.440517e-01
5.003456e-01 3.322000e-10 5.266760e-01 9.441393e-01
5.003818e-01 3.210642e-10 5.141370e-01 9.441746e-01
5.000339e-01 3.070945e-10 5.114950e-01 9.439374e-01
5.005221e-01 3.127759e-10 5.220380e-01 9.437020e-01
5.001502e-01 2.931338e-10 5.450900e-01 9.435143e-01
5.002768e-01 2.903020e-10 4.876670e-01 9.434353e-01
4.999709e-01 2.685024e-10 5.301400e-01 9.440183e-01
5.002009e-01 2.613937e-10 5.299420e-01 9.439050e-01
5.000240e-01 2.509911e-10 5.348890e-01 9.440793e-01
5.006026e-01 2.596600e-10 5.107820e-01 9.438068e-01
5.001276e-01 2.478597e-10 5.452700e-01 9.444557e-01
5.002149e-01 2.408824e-10 5.284980e-01 9.440041e-01
5.003922e-01 2.403895e-10 5.435600e-01 9.440917e-01
5.001644e-01 2.258596e-10 5.794210e-01 9.441708e-01
5.003559e-01 2.340320e-10 5.396800e-01 9.439593e-01
5.003390e-01 2.244861e-10 5.658400e-01 9.443871e-01
5.001037e-01 2.105048e-10 5.394710e-01 9.442718e-01
5.000609e-01 2.041866e-10 5.560150e-01 9.445443e-01
5.001029e-01 2.063539e-10 5.326950e-01 9.446710e-01
5.001967e-01 2.004937e-10 5.668670e-01 9.445262e-01
4.999521e-01 1.954669e-10 5.495490e-01 9.443975e-01
5.001581e-01 1.932147e-10 5.347350e-01 9.434152e-01
5.004683e-01 2.048416e-10 5.469530e-01 9.440965e-01
5.002484e-01 1.856156e-10 5.312220e-01 9.439421e-01
5.001959e-01 1.853823e-10 5.015980e-01 9.445443e-01
5.000746e-01 1.794903e-10 5.462250e-01 9.441775e-01
5.002240e-01 1.860869e-10 5.363100e-01 9.436744e-01
5.000089e-01 1.810988e-10 5.310210e-01 9.443051e-01
5.002307e-01 1.817022e-10 5.331040e-01 9.436734e-01
5.002929e-01 1.829241e-10 5.417060e-01 9.439783e-01
4.999681e-01 1.700656e-10 5.380160e-01 9.447853e-01
5.001713e-01 1.714139e-10 5.513530e-01 9.439021e-01
5.001767e-01 1.780925e-10 5.282790e-01 9.441994e-01
5.001021e-01 1.657489e-10 5.122780e-01 9.441832e-01
4.999568e-01 1.599406e-10 5.568830e-01 9.442013e-01
5.001970e-01 1.678466e-10 5.331450e-01 9.439840e-01
5.001458e-01 1.658362e-10 5.508110e-01 9.441860e-01
5.001168e-01 1.641529e-10 5.383630e-01 9.436229e-01
5.001841e-01 1.625919e-10 5.176040e-01 9.438954e-01
5.001004e-01 1.578292e-10 5.445700e-01 9.442623e-01
4.999167e-01 1.518458e-10 5.522330e-01 9.444156e-01
5.001866e-01 1.646393e-10 5.508930e-01 9.439602e-01
5.002142e-01 1.629210e-10 5.652510e-01 9.437516e-01
5.000855e-01 1.576784e-10 5.143710e-01 9.439879e-01
5.001837e-01 1.654917e-10 5.446550e-01 9.442756e-01
4.999491e-01 1.517968e-10 5.257080e-01 9.442613e-01
5.000664e-01 1.572244e-10 4.828100e-01 9.441575e-01
4.999428e-01 1.480157e-10 5.176870e-01 9.444347e-01
