# dim  N   mc   dt  Impsamp 
# 2    2 262394 0.1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.359395e+00 4.463913e-05 1.006669e+00 9.728624e-01
3.365180e+00 4.446722e-05 1.033896e+00 9.728462e-01
3.358839e+00 4.511674e-05 1.015146e+00 9.727909e-01
3.353899e+00 4.310251e-05 1.048749e+00 9.727290e-01
3.354521e+00 4.758944e-05 1.038187e+00 9.728957e-01
3.352097e+00 4.417197e-05 1.050169e+00 9.731787e-01
3.355268e+00 5.131282e-05 1.028220e+00 9.726537e-01
3.351615e+00 4.451849e-05 1.034209e+00 9.729100e-01
3.351851e+00 4.372892e-05 1.036596e+00 9.726156e-01
3.353749e+00 5.547063e-05 1.044828e+00 9.727014e-01
3.332236e+00 4.246249e-05 1.039085e+00 9.729272e-01
3.331693e+00 4.402697e-05 1.021868e+00 9.726356e-01
3.334991e+00 4.350748e-05 1.061563e+00 9.731644e-01
3.327788e+00 4.228825e-05 1.024694e+00 9.727766e-01
3.329973e+00 4.289821e-05 1.037313e+00 9.728833e-01
3.331753e+00 4.245322e-05 1.021220e+00 9.727862e-01
3.328474e+00 4.232289e-05 1.014716e+00 9.729738e-01
3.327502e+00 4.346895e-05 1.027871e+00 9.725365e-01
3.335310e+00 4.855495e-05 1.068931e+00 9.728786e-01
3.325783e+00 4.846104e-05 1.013417e+00 9.727052e-01
3.317423e+00 4.221200e-05 1.051604e+00 9.727947e-01
3.314202e+00 4.194623e-05 1.029502e+00 9.727290e-01
3.326719e+00 4.339168e-05 1.000009e+00 9.725365e-01
3.318580e+00 4.296093e-05 1.010790e+00 9.728128e-01
3.316998e+00 4.225956e-05 1.024421e+00 9.727271e-01
3.315201e+00 4.257887e-05 1.041650e+00 9.727642e-01
3.315413e+00 4.180630e-05 1.033173e+00 9.726690e-01
3.314478e+00 4.424360e-05 1.025714e+00 9.727071e-01
3.313729e+00 4.280465e-05 1.013998e+00 9.727185e-01
3.304895e+00 4.074298e-05 1.027156e+00 9.727290e-01
3.306355e+00 4.118115e-05 1.029030e+00 9.726280e-01
3.308553e+00 4.128406e-05 1.042018e+00 9.729415e-01
3.304797e+00 4.123541e-05 1.029766e+00 9.725127e-01
3.303601e+00 4.119187e-05 1.025426e+00 9.729195e-01
3.310341e+00 4.182707e-05 1.032055e+00 9.728100e-01
3.303012e+00 4.141937e-05 1.035005e+00 9.728138e-01
3.301140e+00 4.155381e-05 1.037909e+00 9.729596e-01
3.305159e+00 4.348074e-05 1.022684e+00 9.728738e-01
3.298736e+00 4.135798e-05 1.062905e+00 9.727976e-01
3.297594e+00 4.184119e-05 1.032159e+00 9.725546e-01
3.298461e+00 4.084839e-05 1.005001e+00 9.725975e-01
3.294448e+00 4.035086e-05 1.021102e+00 9.729472e-01
3.296284e+00 4.094188e-05 1.020709e+00 9.726804e-01
3.293577e+00 4.073324e-05 1.011918e+00 9.728462e-01
3.287592e+00 4.054983e-05 1.024294e+00 9.727890e-01
3.298893e+00 4.123621e-05 1.021247e+00 9.728643e-01
3.294177e+00 4.373787e-05 1.023273e+00 9.732130e-01
3.297212e+00 4.097954e-05 1.025568e+00 9.727719e-01
3.285291e+00 4.029078e-05 1.037269e+00 9.726137e-01
3.288824e+00 4.087380e-05 1.054760e+00 9.728605e-01
3.286525e+00 4.017712e-05 1.044310e+00 9.728852e-01
3.295432e+00 9.495693e-05 1.045513e+00 9.727338e-01
3.287026e+00 3.996402e-05 1.022533e+00 9.729443e-01
3.284484e+00 4.048844e-05 1.031487e+00 9.731415e-01
3.289603e+00 4.042243e-05 1.040538e+00 9.728957e-01
3.283800e+00 4.100971e-05 1.019879e+00 9.730834e-01
3.289522e+00 4.048274e-05 1.031033e+00 9.727719e-01
3.283599e+00 4.041213e-05 1.059359e+00 9.725442e-01
3.279951e+00 3.986721e-05 1.032916e+00 9.726404e-01
3.289287e+00 4.046706e-05 1.024632e+00 9.727223e-01
3.282846e+00 4.008245e-05 1.036557e+00 9.730682e-01
3.281095e+00 4.026559e-05 1.021539e+00 9.727538e-01
3.280305e+00 4.002373e-05 1.025072e+00 9.729548e-01
3.281789e+00 4.020410e-05 1.025561e+00 9.728166e-01
3.277054e+00 4.159638e-05 1.018401e+00 9.727881e-01
3.284385e+00 4.088600e-05 1.039951e+00 9.728576e-01
3.278108e+00 4.003458e-05 1.028809e+00 9.728367e-01
3.282004e+00 4.009954e-05 1.024761e+00 9.727090e-01
3.276686e+00 3.981137e-05 1.029504e+00 9.729100e-01
3.281832e+00 4.164631e-05 1.018386e+00 9.728709e-01
3.278717e+00 4.934637e-05 1.037360e+00 9.729415e-01
3.280064e+00 3.983846e-05 1.032253e+00 9.728938e-01
3.272515e+00 3.967816e-05 1.029820e+00 9.727242e-01
3.269249e+00 4.013178e-05 1.026734e+00 9.727137e-01
3.272861e+00 3.947516e-05 1.022312e+00 9.726661e-01
3.279114e+00 3.998571e-05 1.031163e+00 9.729872e-01
3.273950e+00 3.997739e-05 1.022097e+00 9.728376e-01
3.271553e+00 3.975373e-05 1.016902e+00 9.727585e-01
3.277255e+00 4.005416e-05 1.021324e+00 9.731768e-01
3.275053e+00 3.962935e-05 1.019897e+00 9.726356e-01
3.272920e+00 3.962906e-05 1.032441e+00 9.727290e-01
3.272033e+00 4.047395e-05 1.021562e+00 9.726737e-01
3.274914e+00 3.956648e-05 1.009244e+00 9.726451e-01
3.268216e+00 3.929562e-05 1.024230e+00 9.727471e-01
3.272661e+00 3.965953e-05 1.032609e+00 9.730539e-01
3.272112e+00 5.291132e-05 1.084127e+00 9.726890e-01
3.269272e+00 3.951161e-05 1.034726e+00 9.728481e-01
3.278376e+00 4.076532e-05 1.010116e+00 9.726089e-01
3.272345e+00 3.980523e-05 1.024176e+00 9.727480e-01
3.271638e+00 4.153626e-05 1.027186e+00 9.727090e-01
3.268627e+00 3.938804e-05 1.013618e+00 9.728624e-01
3.269354e+00 3.970430e-05 1.015326e+00 9.730482e-01
3.268182e+00 3.999553e-05 1.074156e+00 9.727700e-01
3.269748e+00 4.085929e-05 1.018337e+00 9.726613e-01
3.270762e+00 4.223169e-05 1.032961e+00 9.728891e-01
3.270279e+00 3.980315e-05 1.057544e+00 9.727433e-01
3.270172e+00 4.010391e-05 1.043570e+00 9.727852e-01
3.266209e+00 3.946852e-05 1.015911e+00 9.726356e-01
3.270025e+00 4.024349e-05 1.025579e+00 9.726194e-01
3.263181e+00 4.088959e-05 1.038719e+00 9.724832e-01
