# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.226261e+00 4.752811e-05 9.452410e-01 8.624873e-01
3.228317e+00 4.752404e-05 9.148930e-01 8.624473e-01
3.225293e+00 4.553114e-05 9.732070e-01 8.622901e-01
3.228176e+00 4.725502e-05 9.648940e-01 8.620224e-01
3.231708e+00 4.700758e-05 9.414540e-01 8.626922e-01
3.230007e+00 4.638745e-05 9.229330e-01 8.622625e-01
3.216039e+00 4.634556e-05 9.346870e-01 8.624616e-01
3.231446e+00 4.986045e-05 9.296060e-01 8.620348e-01
3.230316e+00 4.755561e-05 9.854660e-01 8.623606e-01
3.228744e+00 4.658390e-05 9.047190e-01 8.621005e-01
3.224412e+00 4.955203e-05 9.162220e-01 8.626960e-01
3.224142e+00 5.554229e-05 9.786410e-01 8.619709e-01
3.221145e+00 4.692290e-05 9.407850e-01 8.623530e-01
3.223189e+00 4.676766e-05 9.844890e-01 8.623835e-01
3.219959e+00 4.691721e-05 8.835380e-01 8.623330e-01
3.221310e+00 4.581452e-05 9.293540e-01 8.625864e-01
3.220803e+00 4.612192e-05 9.058730e-01 8.619433e-01
3.221140e+00 4.838632e-05 1.009582e+00 8.623711e-01
3.226986e+00 5.707934e-05 9.380150e-01 8.630799e-01
3.212598e+00 4.622491e-05 1.001686e+00 8.631505e-01
3.219262e+00 4.633456e-05 9.392580e-01 8.624826e-01
3.220694e+00 4.711259e-05 9.595460e-01 8.622291e-01
3.208575e+00 4.556871e-05 9.449290e-01 8.626312e-01
3.234373e+00 7.316462e-05 1.009843e+00 8.624311e-01
3.231434e+00 4.893448e-05 1.055847e+00 8.629799e-01
3.221137e+00 4.753707e-05 1.116559e+00 8.619395e-01
3.225419e+00 4.810755e-05 1.179060e+00 8.627322e-01
3.222544e+00 4.781083e-05 1.102650e+00 8.620071e-01
3.214973e+00 4.577643e-05 9.926930e-01 8.621300e-01
3.221855e+00 4.804648e-05 1.064045e+00 8.619604e-01
3.239952e+00 1.257992e-04 9.349160e-01 8.617651e-01
3.223267e+00 5.489023e-05 9.610050e-01 8.620748e-01
3.302379e+00 5.404594e-03 9.129640e-01 8.628084e-01
3.221664e+00 4.777991e-05 8.970370e-01 8.626017e-01
3.214114e+00 4.536494e-05 9.360900e-01 8.620338e-01
3.217310e+00 5.668689e-05 8.722420e-01 8.622787e-01
3.231171e+00 7.532220e-05 9.323620e-01 8.619976e-01
3.222704e+00 4.819947e-05 1.004357e+00 8.624597e-01
3.218045e+00 4.763034e-05 1.007713e+00 8.625016e-01
3.228038e+00 5.349131e-05 1.013227e+00 8.629132e-01
3.220004e+00 4.654140e-05 1.126729e+00 8.625178e-01
3.229925e+00 4.716504e-05 1.039994e+00 8.629599e-01
3.209422e+00 5.022533e-05 8.981810e-01 8.619919e-01
3.211288e+00 4.667802e-05 8.955420e-01 8.628713e-01
3.226442e+00 4.936899e-05 8.824690e-01 8.620824e-01
3.226762e+00 4.891629e-05 9.928460e-01 8.621539e-01
3.217074e+00 4.596193e-05 1.025091e+00 8.625569e-01
3.229095e+00 5.229045e-05 8.922300e-01 8.629447e-01
3.224794e+00 4.894401e-05 8.563770e-01 8.628532e-01
3.214560e+00 4.627953e-05 8.936380e-01 8.623063e-01
3.218273e+00 5.048970e-05 1.048295e+00 8.624721e-01
3.216028e+00 4.615481e-05 9.181500e-01 8.623787e-01
3.217920e+00 4.506910e-05 9.362390e-01 8.623406e-01
3.217808e+00 4.621668e-05 9.753990e-01 8.624883e-01
3.230997e+00 5.033643e-05 1.026175e+00 8.623806e-01
3.208849e+00 4.594612e-05 1.045590e+00 8.619671e-01
3.218436e+00 4.632855e-05 1.057565e+00 8.629428e-01
3.223072e+00 4.708626e-05 1.041583e+00 8.625045e-01
3.233420e+00 7.861155e-05 1.053672e+00 8.618137e-01
3.213791e+00 4.658395e-05 1.027560e+00 8.625035e-01
3.222160e+00 5.149544e-05 1.035343e+00 8.620395e-01
3.228107e+00 4.700482e-05 1.018944e+00 8.628970e-01
3.218933e+00 4.559225e-05 1.089749e+00 8.624673e-01
3.218476e+00 5.544831e-05 1.042799e+00 8.616870e-01
3.228950e+00 4.827173e-05 1.079867e+00 8.626855e-01
3.214823e+00 4.482112e-05 1.088773e+00 8.630695e-01
3.215917e+00 5.279879e-05 1.009895e+00 8.624673e-01
3.216595e+00 5.195964e-05 1.009617e+00 8.629123e-01
3.227875e+00 5.191859e-05 9.855400e-01 8.622987e-01
3.212972e+00 4.827451e-05 9.505330e-01 8.615851e-01
3.220108e+00 4.679345e-05 9.828150e-01 8.633505e-01
3.218686e+00 4.801922e-05 1.010871e+00 8.629847e-01
3.220078e+00 4.846301e-05 1.033143e+00 8.621939e-01
3.221146e+00 5.156262e-05 1.047062e+00 8.620205e-01
3.215107e+00 4.791788e-05 1.142824e+00 8.620576e-01
3.225361e+00 4.651852e-05 1.004136e+00 8.617909e-01
3.219936e+00 4.669520e-05 9.611100e-01 8.627265e-01
3.211398e+00 4.704319e-05 9.638520e-01 8.623015e-01
3.215919e+00 5.090963e-05 9.035220e-01 8.621558e-01
3.217230e+00 4.730391e-05 9.627690e-01 8.616670e-01
