# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.254281e+00 5.230877e-05 2.817400e-01 8.595900e-01
3.245064e+00 5.053008e-05 2.521530e-01 8.600702e-01
3.255429e+00 5.288375e-05 2.242550e-01 8.599711e-01
3.261123e+00 5.212868e-05 2.263040e-01 8.605456e-01
3.269481e+00 5.861121e-05 2.417920e-01 8.602922e-01
3.250128e+00 4.728383e-05 2.355730e-01 8.604903e-01
3.240826e+00 4.941260e-05 2.765590e-01 8.608914e-01
3.247532e+00 4.746265e-05 2.361310e-01 8.604055e-01
3.255070e+00 5.534144e-05 2.313140e-01 8.604722e-01
3.243519e+00 4.781811e-05 2.241590e-01 8.606275e-01
3.266236e+00 4.922605e-05 2.233920e-01 8.599606e-01
3.249152e+00 4.965426e-05 2.121450e-01 8.604227e-01
3.244506e+00 4.728655e-05 2.236770e-01 8.602826e-01
3.240906e+00 4.710224e-05 2.242670e-01 8.606190e-01
3.251345e+00 4.775485e-05 2.135910e-01 8.606085e-01
3.243132e+00 4.735369e-05 2.141560e-01 8.603312e-01
3.254237e+00 5.486103e-05 2.233260e-01 8.604665e-01
3.240320e+00 4.629296e-05 2.193450e-01 8.605027e-01
3.263465e+00 6.091653e-05 2.312400e-01 8.602893e-01
3.243729e+00 5.099702e-05 2.219410e-01 8.603198e-01
3.243830e+00 4.829257e-05 2.250470e-01 8.604465e-01
3.249104e+00 4.869002e-05 2.240850e-01 8.610086e-01
3.239580e+00 4.810914e-05 2.398460e-01 8.606856e-01
3.249779e+00 4.950118e-05 2.373250e-01 8.605970e-01
3.250567e+00 4.938115e-05 2.256270e-01 8.602540e-01
3.236633e+00 4.828418e-05 2.107760e-01 8.601788e-01
3.250800e+00 4.903019e-05 2.181690e-01 8.606790e-01
3.243410e+00 4.747299e-05 2.170610e-01 8.604008e-01
3.251054e+00 5.232083e-05 2.099970e-01 8.604522e-01
3.247670e+00 4.724916e-05 2.304160e-01 8.611020e-01
3.244799e+00 4.966135e-05 2.128510e-01 8.608962e-01
3.244712e+00 4.940534e-05 2.278210e-01 8.604560e-01
3.234459e+00 5.049236e-05 2.094300e-01 8.605303e-01
3.238568e+00 4.719550e-05 2.139140e-01 8.608724e-01
3.250433e+00 4.794536e-05 2.096380e-01 8.609429e-01
3.244279e+00 4.736218e-05 2.208980e-01 8.600883e-01
3.230873e+00 4.845477e-05 2.126650e-01 8.604960e-01
3.250910e+00 4.684660e-05 2.313680e-01 8.600425e-01
3.246075e+00 6.103574e-05 2.077940e-01 8.609219e-01
3.243404e+00 4.690317e-05 2.156190e-01 8.597653e-01
3.239377e+00 4.668029e-05 2.090850e-01 8.599482e-01
3.242900e+00 4.769792e-05 2.123920e-01 8.607038e-01
3.252624e+00 8.407128e-05 2.150450e-01 8.604551e-01
3.241598e+00 4.762276e-05 2.286070e-01 8.602035e-01
3.245621e+00 5.831380e-05 2.257630e-01 8.612421e-01
3.239691e+00 4.602265e-05 2.260160e-01 8.606666e-01
3.252564e+00 5.007506e-05 2.066990e-01 8.601997e-01
3.240233e+00 4.678849e-05 2.142450e-01 8.608733e-01
3.238080e+00 5.003896e-05 2.102700e-01 8.606647e-01
3.240372e+00 4.652864e-05 2.065060e-01 8.599006e-01
3.234959e+00 4.946342e-05 2.268430e-01 8.598548e-01
3.252050e+00 1.182029e-04 2.267190e-01 8.598234e-01
3.231550e+00 4.663253e-05 2.037700e-01 8.602560e-01
3.244640e+00 5.099371e-05 2.109710e-01 8.605084e-01
3.249510e+00 4.718284e-05 2.105220e-01 8.606799e-01
3.235484e+00 4.710772e-05 2.055430e-01 8.602950e-01
3.240228e+00 4.650382e-05 2.136390e-01 8.608752e-01
3.237603e+00 4.697339e-05 2.131580e-01 8.604179e-01
3.240581e+00 4.983259e-05 2.051990e-01 8.609848e-01
3.227351e+00 4.640681e-05 2.098640e-01 8.606876e-01
3.237294e+00 4.689287e-05 2.159230e-01 8.603112e-01
3.228129e+00 4.471243e-05 2.134690e-01 8.608629e-01
3.244756e+00 4.659064e-05 2.106630e-01 8.600892e-01
3.234442e+00 4.526381e-05 2.041180e-01 8.606390e-01
3.235913e+00 4.517652e-05 2.032760e-01 8.603312e-01
3.229586e+00 4.791159e-05 2.103940e-01 8.603093e-01
3.247214e+00 4.948557e-05 2.154560e-01 8.604675e-01
3.239081e+00 5.226883e-05 2.058050e-01 8.603493e-01
3.241957e+00 4.654676e-05 2.109990e-01 8.599387e-01
3.233820e+00 4.753299e-05 2.105760e-01 8.601397e-01
3.230945e+00 4.510178e-05 2.038660e-01 8.600502e-01
3.234509e+00 4.725452e-05 2.171490e-01 8.610448e-01
3.247690e+00 4.767184e-05 2.288750e-01 8.599682e-01
3.225780e+00 4.804105e-05 2.248100e-01 8.603712e-01
3.227295e+00 4.506393e-05 2.050630e-01 8.598120e-01
3.233728e+00 4.573061e-05 2.042450e-01 8.607447e-01
3.236726e+00 4.679513e-05 2.136640e-01 8.610839e-01
3.225575e+00 4.472094e-05 2.188720e-01 8.597357e-01
